Symbol,Name,MarketCap,Sector,Industry
CWCO,Consolidated Water Co. Ltd.,159301014.3,Public Utilities,Water Supply
CPSS,"Consumer Portfolio Services, Inc.",126600860.7,Finance,Finance: Consumer Services
CFRX,ContraFect Corporation,95631249.2,Health Care,Major Pharmaceuticals
CTRV,ContraVir Pharmaceuticals Inc,92913907.16,Health Care,Major Pharmaceuticals
CTRL,Control4 Corporation,362343530.7,Capital Goods,Electrical Products
CPAA,Conyers Park Acquisition Corp.,532809375,Finance,Business Services
CPAAU,Conyers Park Acquisition Corp.,0,Finance,Business Services
CPAAW,Conyers Park Acquisition Corp.,0,Finance,Business Services
CPRT,"Copart, Inc.",6947130054,Consumer Durables,Automotive Aftermarket
COYN,"COPsync, Inc.",3098354.52,Technology,Computer Communications Equipment
COYNW,"COPsync, Inc.",0,Technology,Computer Communications Equipment
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",413270358.9,Health Care,Major Pharmaceuticals
CORT,Corcept Therapeutics Incorporated,1081449362,Health Care,Major Pharmaceuticals
CORE,"Core-Mark Holding Company, Inc.",1442741467,Consumer Non-Durables,Food Distributors
CORI,"Corium International, Inc.",108716226.2,Health Care,Major Pharmaceuticals
CSOD,"Cornerstone OnDemand, Inc.",2364293856,Technology,Computer Software: Prepackaged Software
CRVL,CorVel Corp.,783290862.9,Finance,Specialty Insurers
CRVS,"Corvus Pharmaceuticals, Inc.",287539078.8,Health Care,Major Pharmaceuticals
CSGP,"CoStar Group, Inc.",6719775336,Miscellaneous,Business Services
COST,Costco Wholesale Corporation,74785060969,Consumer Services,Department/Specialty Retail Stores
CPAH,CounterPath Corporation,12266035.25,Technology,Computer Software: Prepackaged Software
ICBK,"County Bancorp, Inc.",180206908.5,Finance,Major Banks
COUP,Coupa Software Incorporated,1329520828,Technology,Computer Software: Prepackaged Software
CVTI,"Covenant Transportation Group, Inc.",356972538.8,Transportation,Trucking Freight/Courier Services
COVS,Covisint Corporation,81731794,Technology,EDP Services
COWN,"Cowen Group, Inc.",381198244.5,Finance,Investment Bankers/Brokers/Service
COWNL,"Cowen Group, Inc.",0,Finance,Investment Bankers/Brokers/Service
PMTS,CPI Card Group Inc.,262329960,Finance,Finance Companies
CPSH,CPS Technologies Corp.,19409050.92,Capital Goods,Building Materials
CRAI,"CRA International,Inc.",303444641.4,Miscellaneous,Other Consumer Services
CBRL,"Cracker Barrel Old Country Store, Inc.",3899705341,Consumer Services,Restaurants
BREW,"Craft Brew Alliance, Inc.",285009934.4,Consumer Non-Durables,Beverages (Production/Distribution)
CRAY,Cray Inc,816764378.9,Technology,Computer Manufacturing
CACC,Credit Acceptance Corporation,4042957132,Finance,Finance: Consumer Services
GLDI,Credit Suisse Gold Shares Covered Calls ETN,127950302.9,Finance,Investment Bankers/Brokers/Service
SLVO,Credit Suisse Silver Shares Covered Call ETN,7717745,Finance,Investment Bankers/Brokers/Service
CREE,"Cree, Inc.",2641621919,Technology,Semiconductors
CRESY,Cresud S.A.C.I.F. y A.,736608580.8,Finance,Real Estate
CRSP,CRISPR Therapeutics AG,841558053.1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A.,2879312832,Technology,Advertising
CROX,"Crocs, Inc.",519240697.5,Consumer Non-Durables,Shoe Manufacturing
CCRN,"Cross Country Healthcare, Inc.",509688450.4,Technology,Professional Services
XRDC,"Crossroads Capital, Inc.",21995199,n/a,n/a
CRDS,"Crossroads Systems, Inc.",4374935.04,Technology,Computer peripheral equipment
CRWS,"Crown Crafts, Inc.",76250503.6,Basic Industries,Textiles
CYRX,"CryoPort, Inc.",63004520.24,Transportation,Oil Refining/Marketing
CYRXW,"CryoPort, Inc.",0,Transportation,Oil Refining/Marketing
CSGS,"CSG Systems International, Inc.",1280922591,Technology,EDP Services
CCLP,CSI Compressco LP,332623760,Energy,Oilfield Services/Equipment
CSPI,CSP Inc.,34730499.33,Technology,EDP Services
CSWI,"CSW Industrials, Inc.",585587923.2,Basic Industries,Home Furnishings
CSX,CSX Corporation,45840597214,Transportation,Railroads
CTIC,CTI BioPharma Corp.,125620229.3,Health Care,Major Pharmaceuticals
CTIB,CTI Industries Corporation,22520622.06,Basic Industries,Specialty Chemicals
CTRP,"Ctrip.com International, Ltd.",20060827800,Miscellaneous,Business Services
CUNB,CU Bancorp (CA),681945830.4,Finance,Major Banks
CUI,"CUI Global, Inc.",132604212.9,Consumer Non-Durables,Electronic Components
CPIX,Cumberland Pharmaceuticals Inc.,90287770.32,Health Care,Major Pharmaceuticals
CMLS,Cumulus Media Inc.,17601408.22,Consumer Services,Broadcasting
CRIS,"Curis, Inc.",334506665.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,"Cutera, Inc.",275536187.9,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,CVB Financial Corporation,2574232108,Finance,Major Banks
CVV,CVD Equipment Corporation,63241800,Technology,Industrial Machinery/Components
CYAN,Cyanotech Corporation,22392079.95,Consumer Durables,Specialty Chemicals
CYBR,CyberArk Software Ltd.,1705586432,Technology,Computer Software: Prepackaged Software
CYBE,CyberOptics Corporation,184106500.5,Capital Goods,Electronic Components
CYCC,"Cyclacel Pharmaceuticals, Inc.",14845291.67,Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",2333500.08,Health Care,Major Pharmaceuticals
CBAY,CymaBay Therapeutics Inc.,82734571.53,Health Care,Major Pharmaceuticals
CYNO,"Cynosure, Inc.",1609630779,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CY,Cypress Semiconductor Corporation,4417104046,Technology,Semiconductors
CYRN,CYREN Ltd.,82249759.2,Technology,Computer Software: Prepackaged Software
CONE,CyrusOne Inc,4187915183,Consumer Services,Real Estate Investment Trusts
CYTK,"Cytokinetics, Incorporated",467970102.6,Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",566784527.2,Health Care,Major Pharmaceuticals
CYTX,Cytori Therapeutics Inc,34197565.77,Health Care,Medical/Dental Instruments
CYTXW,Cytori Therapeutics Inc,0,Health Care,Medical/Dental Instruments
CTSO,Cytosorbents Corporation,138805864.7,Health Care,Medical/Dental Instruments
CYTR,CytRx Corporation,46950151.97,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DJCO,Daily Journal Corp. (S.C.),287457509.7,Consumer Services,Newspapers/Magazines
DAKT,"Daktronics, Inc.",408153177.6,Consumer Durables,Miscellaneous manufacturing industries
DRIO,DarioHealth Corp.,26804182.14,Health Care,Medical/Dental Instruments
DRIOW,DarioHealth Corp.,0,Health Care,Medical/Dental Instruments
DZSI,"DASAN Zhone Solutions, Inc.",18801576.64,Public Utilities,Telecommunications Equipment
DSKE,"Daseke, Inc.",249249351.2,n/a,n/a
DSKEW,"Daseke, Inc.",0,n/a,n/a
DAIO,Data I/O Corporation,39562350.3,Capital Goods,Electrical Products
DRAM,Dataram Corporation,5174312.692,Technology,Electronic Components
DWCH,Datawatch Corporation,84556360.5,Technology,Computer Software: Prepackaged Software
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",2401541690,Consumer Services,Restaurants
DTEA,DAVIDsTEA Inc.,170136061.2,Consumer Non-Durables,Food Chains
DFNL,Davis Select Financial ETF,0,n/a,n/a
DUSA,Davis Select U.S. Equity ETF,0,n/a,n/a
DWLD,Davis Select Worldwide ETF,0,n/a,n/a
DWSN,Dawson Geophysical Company,156835545.3,Energy,Oil & Gas Production
DBVT,DBV Technologies S.A.,898915335.8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",397621645.2,Consumer Services,Restaurants
TACO,"Del Taco Restaurants, Inc.",480407346.8,Consumer Services,Restaurants
TACOW,"Del Taco Restaurants, Inc.",0,Consumer Services,Restaurants
DCTH,"Delcath Systems, Inc.",5907336.65,Health Care,Medical/Dental Instruments
DMPI,"DelMar Pharmaceuticals, Inc.",48771306.8,Health Care,Major Pharmaceuticals
DGAS,"Delta Natural Gas Company, Inc.",216990687.7,Public Utilities,Oil & Gas Production
DELT,Delta Technology Holdings Limited,13754958.36,Basic Industries,Major Chemicals
DELTW,Delta Technology Holdings Limited,0,Basic Industries,Major Chemicals
DENN,Denny&#39;s Corporation,889167949,Consumer Services,Restaurants
XRAY,DENTSPLY SIRONA Inc.,14628586579,Health Care,Medical/Dental Instruments
DEPO,"Depomed, Inc.",991108929.7,Health Care,Major Pharmaceuticals
DERM,"Dermira, Inc.",1341033738,Health Care,Major Pharmaceuticals
DEST,Destination Maternity Corporation,69778534.92,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,"Destination XL Group, Inc.",137224268.1,Consumer Services,Clothing/Shoe/Accessory Stores
DSWL,"Deswell Industries, Inc.",29382917.37,Consumer Non-Durables,Plastic Products
DTRM,"Determine, Inc.",37374157.8,Technology,Computer Software: Prepackaged Software
DXCM,"DexCom, Inc.",6822521737,Health Care,Medical/Dental Instruments
DXTR,Dextera Surgical Inc.,10177726.2,Health Care,Medical/Dental Instruments
DHXM,DHX Media Ltd.,102328584.1,n/a,n/a
DHIL,"Diamond Hill Investment Group, Inc.",686974200,Finance,Investment Managers
FANG,"Diamondback Energy, Inc.",9337108684,Energy,Oil & Gas Production
DCIX,Diana Containerships Inc.,23777635.96,Transportation,Marine Transportation
DRNA,"Dicerna Pharmaceuticals, Inc.",59353582.86,Health Care,Major Pharmaceuticals
DFBG,Differential Brands Group Inc.,29438826.75,Consumer Non-Durables,Apparel
DFFN,Diffusion Pharmaceuticals Inc.,30416172.78,Health Care,Major Pharmaceuticals
DGII,Digi International Inc.,334350303.1,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,275786081.4,Technology,EDP Services
DRAD,Digirad Corporation,108414435.7,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,"Digital Ally, Inc.",25012029.15,Technology,Radio And Television Broadcasting And Communications Equipment
APPS,"Digital Turbine, Inc.",59637435.37,Miscellaneous,Multi-Sector Companies
DCOM,"Dime Community Bancshares, Inc.",812792010.1,Finance,Savings Institutions
DMTX,"Dimension Therapeutics, Inc.",46330486.1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DIOD,Diodes Incorporated,1164089021,Technology,Semiconductors
DPRX,"Dipexium Pharmaceuticals, Inc.",12783109.05,Health Care,Major Pharmaceuticals
DISCA,"Discovery Communications, Inc.",10839623203,Consumer Services,Television Services
DISCB,"Discovery Communications, Inc.",10882375392,Consumer Services,Television Services
DISCK,"Discovery Communications, Inc.",10571450381,Consumer Services,Television Services
DISH,DISH Network Corporation,28470338754,Consumer Services,Television Services
DVCR,Diversicare Healthcare Services Inc.,69711025.2,Health Care,Hospital/Nursing Management
SAUC,"Diversified Restaurant Holdings, Inc.",47473999.08,Consumer Services,Restaurants
DLHC,DLH Holdings Corp.,57566056.97,Technology,Professional Services
BOOM,DMC Global Inc.,221578593.3,Capital Goods,Industrial Specialties
DNBF,DNB Financial Corp,141471122,Finance,Major Banks
DLTR,"Dollar Tree, Inc.",18208188393,Consumer Services,Department/Specialty Retail Stores
DGICA,"Donegal Group, Inc.",446087682.6,Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",432528118.3,Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",501543296.9,Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",2823533584,Capital Goods,Auto Parts:O.E.M.
EAGL,Double Eagle Acquisition Corp.,628125000,Finance,Business Services
EAGLU,Double Eagle Acquisition Corp.,0,Finance,Business Services
EAGLW,Double Eagle Acquisition Corp.,0,Finance,Business Services
DRWI,DragonWave Inc,8749494.6,Public Utilities,Telecommunications Equipment
DRYS,DryShips Inc.,49667801.9,Transportation,Marine Transportation
DSPG,"DSP Group, Inc.",220548806.4,Technology,Semiconductors
DLTH,Duluth Holdings Inc.,635536090.3,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",5037244448,Consumer Services,Restaurants
DRRX,DURECT Corporation,136378109.3,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",608856791.3,Capital Goods,Industrial Machinery/Components
DYSL,Dynasil Corporation of America,20352394.8,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,8958093.9,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX,Dynavax Technologies Corporation,240797875,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,9744208400,Finance,Savings Institutions
EBMT,"Eagle Bancorp Montana, Inc.",74322475.5,Finance,Major Banks
EGBN,"Eagle Bancorp, Inc.",2145203743,Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,380359934.1,Transportation,Marine Transportation
EGRX,"Eagle Pharmaceuticals, Inc.",1206967625,Health Care,Major Pharmaceuticals
EWBC,"East West Bancorp, Inc.",7922012697,Finance,Major Banks
EACQ,Easterly Acquisition Corp.,248750000,Capital Goods,Building Products
EACQU,Easterly Acquisition Corp.,0,Capital Goods,Building Products
EACQW,Easterly Acquisition Corp.,0,Capital Goods,Building Products
EML,Eastern Company (The),119769596.1,Capital Goods,Industrial Machinery/Components
EVBS,"Eastern Virginia Bankshares, Inc.",141265782,Finance,Major Banks
EVGBC,Eaton Vance NextShares Trust,0,n/a,n/a
EVSTC,Eaton Vance NextShares Trust,0,n/a,n/a
EVLMC,Eaton Vance NextShares Trust II,0,n/a,n/a
EBAY,eBay Inc.,36676817358,Miscellaneous,Business Services
EBAYL,eBay Inc.,0,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",2092391929,Technology,EDP Services
ELON,Echelon Corporation,25039144.55,Technology,Computer Communications Equipment
ECHO,"Echo Global Logistics, Inc.",613505731.1,Transportation,Oil Refining/Marketing
SATS,EchoStar Corporation,5071188146,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,"Ecology and Environment, Inc.",42511609.8,Consumer Services,Military/Government/Technical
ESES,"Eco-Stim Energy Solutions, Inc.",12888553.94,Energy,Oilfield Services/Equipment
EDAP,EDAP TMS S.A.,82855325.4,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,"Edge Therapeutics, Inc.",256786680.7,Health Care,Major Pharmaceuticals
EDGW,"Edgewater Technology, Inc.",84366331.8,Technology,"Computer Software: Programming, Data Processing"
EDIT,"Editas Medicine, Inc.",807163710.7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDUC,Educational Development Corporation,36332318.7,Consumer Durables,Consumer Specialties
EGAN,eGain Corporation,48789847.8,Technology,Computer Software: Prepackaged Software
EGLT,Egalet Corporation,125441842.5,Health Care,Major Pharmaceuticals
EHTH,"eHealth, Inc.",208359792.2,Finance,Specialty Insurers
EIGR,"Eiger BioPharmaceuticals, Inc.",98190743.25,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,"Ekso Bionics Holdings, Inc.",72644783.88,Capital Goods,Industrial Machinery/Components
LOCO,"El Pollo Loco Holdings, Inc.",469380018.4,Consumer Services,Restaurants
EMITF,Elbit Imaging Ltd.,30421574.48,Consumer Services,Building operators
ESLT,Elbit Systems Ltd.,5057620701,Capital Goods,Military/Government/Technical
ERI,"Eldorado Resorts, Inc.",857324540.8,Consumer Services,Hotels/Resorts
ESIO,"Electro Scientific Industries, Inc.",219871940.1,Miscellaneous,Industrial Machinery/Components
EA,Electronic Arts Inc.,26892997335,Technology,Computer Software: Prepackaged Software
EFII,"Electronics for Imaging, Inc.",2145151793,Technology,Computer Communications Equipment
ELSE,"Electro-Sensors, Inc.",13242531.9,Capital Goods,Industrial Machinery/Components
ELEC,Electrum Special Acquisition Corporation,250250000,Finance,Business Services
ELECU,Electrum Special Acquisition Corporation,261250000,Finance,Business Services
ELECW,Electrum Special Acquisition Corporation,0,Finance,Business Services
EBIO,"Eleven Biotherapeutics, Inc.",44598598.96,Health Care,Major Pharmaceuticals
DWAC,Elkhorn Commodity Rotation Strategy ETF,6135049.08,n/a,n/a
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio,2852720,n/a,n/a
ESBK,Elmira Savings Bank NY (The),58833750,Finance,Major Banks
ELTK,Eltek Ltd.,8012781.98,Technology,Electrical Products
EMCI,EMC Insurance Group Inc.,589562022.3,Finance,Property-Casualty Insurers
EMCF,Emclaire Financial Corp,60793351.71,Finance,Major Banks
EMKR,EMCORE Corporation,247236045.3,Technology,Semiconductors
EMMS,Emmis Communications Corporation,32106339.3,Consumer Services,Broadcasting
NYNY,"Empire Resorts, Inc.",719695838.4,Consumer Services,Restaurants
ERS,"Empire Resources, Inc.",41175435,Basic Industries,Metal Fabrications
ENTA,"Enanta Pharmaceuticals, Inc.",547436426.3,Health Care,Major Pharmaceuticals
ECPG,Encore Capital Group Inc,821701963.2,Finance,Finance Companies
WIRE,Encore Wire Corporation,994303091.6,Capital Goods,Metal Fabrications
ENDP,Endo International plc,2731233271,Health Care,Major Pharmaceuticals
ECYT,"Endocyte, Inc.",102288727,Health Care,Major Pharmaceuticals
ELGX,"Endologix, Inc.",565346454.2,Health Care,Medical/Dental Instruments
NDRAU,ENDRA Life Sciences Inc.,0,n/a,n/a
EIGI,"Endurance International Group Holdings, Inc.",1137120640,Technology,Computer Software: Prepackaged Software
WATT,Energous Corporation,277971860.8,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,"Energy Focus, Inc.",37122440.33,Consumer Durables,Building Products
ERII,"Energy Recovery, Inc.",457293715.5,Technology,Industrial Machinery/Components
EXXI,"Energy XXI Gulf Coast, Inc.",963136226,n/a,n/a
ENOC,"EnerNOC, Inc.",169986355,Technology,"Computer Software: Programming, Data Processing"
ENG,ENGlobal Corporation,62387646.84,Consumer Services,Military/Government/Technical
ENPH,"Enphase Energy, Inc.",91006741.56,Technology,Semiconductors
ESGR,Enstar Group Limited,3788715957,Finance,Property-Casualty Insurers
ENFC,Entegra Financial Corp.,149077027.5,Finance,Banks
ENTG,"Entegris, Inc.",2993874197,Consumer Non-Durables,Plastic Products
ENTL,"Entellus Medical, Inc.",294255091.9,Health Care,Medical/Dental Instruments
ETRM,EnteroMedics Inc.,25072975.52,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EBTC,Enterprise Bancorp Inc,377207639.5,Finance,Major Banks
EFSC,Enterprise Financial Services Corporation,1033490688,Finance,Major Banks
EGT,Entertainment Gaming Asia Incorporated,25008636.38,Consumer Durables,Miscellaneous manufacturing industries
ENZY,Enzymotec Ltd.,210422311.5,Consumer Durables,Specialty Chemicals
EPZM,"Epizyme, Inc.",870170520,Health Care,Major Pharmaceuticals
PLUS,ePlus inc.,909840009.5,Technology,Retail: Computer Software & Peripheral Equipment
EQIX,"Equinix, Inc.",26913425502,Consumer Services,Real Estate Investment Trusts
EQFN,Equitable Financial Corp.,34619067.42,Finance,Savings Institutions
EQBK,"Equity Bancshares, Inc.",378675585.4,Finance,Major Banks
ERIC,Ericsson,2059814750,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company,6328119825,Finance,Specialty Insurers
ESCA,"Escalade, Incorporated",189567206.8,Consumer Non-Durables,Recreational Products/Toys
ESPR,"Esperion Therapeutics, Inc.",704856656.3,Health Care,Major Pharmaceuticals
ESSA,"ESSA Bancorp, Inc.",180289298.6,Finance,Banks
EPIX,ESSA Pharma Inc.,64618371.09,Health Care,Major Pharmaceuticals
ESND,Essendant Inc.,566591321.5,Consumer Services,Paper
ETSY,"Etsy, Inc.",1177646092,Miscellaneous,Business Services
CLWT,Euro Tech Holdings Company Limited,8041445.1,Consumer Durables,Diversified Electronic Products
EEFT,"Euronet Worldwide, Inc.",4341985080,Finance,Investment Bankers/Brokers/Service
ESEA,Euroseas Ltd.,15066423.24,Transportation,Marine Transportation
EVEP,"EV Energy Partners, L.P.",77016685.98,Energy,Oil & Gas Production
EVBG,"Everbridge, Inc.",500881374.9,n/a,n/a
EVK,"Ever-Glory International Group, Inc.",36969850,Consumer Non-Durables,Apparel
MRAM,"Everspin Technologies, Inc.",112608133.3,Technology,Semiconductors
EVLV,EVINE Live Inc.,86650935.07,Consumer Services,Catalog/Specialty Distribution
EVGN,Evogene Ltd.,128826633.5,Basic Industries,Agricultural Chemicals
EVOK,"Evoke Pharma, Inc.",41497209.6,Health Care,Major Pharmaceuticals
EVOL,"Evolving Systems, Inc.",54178629.05,Technology,EDP Services
EXA,Exa Corporation,234950745.8,Technology,Computer Software: Prepackaged Software
EXAS,Exact Sciences Corporation,2445450195,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXAC,"Exactech, Inc.",347529486.5,Health Care,Industrial Specialties
EXEL,"Exelixis, Inc.",6713201428,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFO,EXFO Inc,124950727.6,Capital Goods,Electrical Products
EXLS,"ExlService Holdings, Inc.",1553954917,Miscellaneous,Business Services
EXPE,"Expedia, Inc.",17994983567,Consumer Services,Transportation Services
EXPD,"Expeditors International of Washington, Inc.",10176821302,Transportation,Oil Refining/Marketing
EXPO,"Exponent, Inc.",1497426723,Consumer Services,Professional Services
ESRX,Express Scripts Holding Company,43357437600,Health Care,Medical/Nursing Services
XOG,"Extraction Oil & Gas, Inc.",3093022890,Energy,Oil & Gas Production
EXTR,"Extreme Networks, Inc.",665251121.1,Technology,Computer Communications Equipment
EYEG,"Eyegate Pharmaceuticals, Inc.",29885858.36,Health Care,Major Pharmaceuticals
EYEGW,"Eyegate Pharmaceuticals, Inc.",0,Health Care,Major Pharmaceuticals
EZPW,"EZCORP, Inc.",488628774,Consumer Services,Other Specialty Stores
FFIV,"F5 Networks, Inc.",9256211127,Technology,Computer Communications Equipment
FB,"Facebook, Inc.",3.96419E+11,Technology,"Computer Software: Programming, Data Processing"
FRP,"FairPoint Communications, Inc.",429117764.6,Public Utilities,Telecommunications Equipment
FALC,"FalconStor Software, Inc.",26177462.72,Technology,Computer Software: Prepackaged Software
DAVE,"Famous Dave&#39;s of America, Inc.",39032293.08,Consumer Services,Restaurants
FANH,Fanhua Inc.,300272785.2,Finance,Specialty Insurers
FARM,Farmer Brothers Company,549278328.9,Consumer Non-Durables,Packaged Foods
FFKT,Farmers Capital Bank Corporation,290632588.2,Finance,Major Banks
FMNB,Farmers National Banc Corp.,377314912.8,Finance,Major Banks
FARO,"FARO Technologies, Inc.",576321329.1,Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company,14983715863,Consumer Services,RETAIL: Building Materials
FATE,"Fate Therapeutics, Inc.",173823325.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBSS,"Fauquier Bankshares, Inc.",70790745.96,Finance,Major Banks
FBRC,FBR & Co,127398276,Finance,Investment Bankers/Brokers/Service
FNHC,Federated National Holding Company,290250949.7,Finance,Property-Casualty Insurers
FHCO,Female Health Company (The),31338249,Basic Industries,Specialty Chemicals
FENX,"Fenix Parts, Inc.",39881043.18,Consumer Services,Motor Vehicles
GSM,Ferroglobe PLC,1831794711,Capital Goods,Metal Fabrications
FCSC,Fibrocell Science Inc,29021907.9,Health Care,Major Pharmaceuticals
FGEN,"FibroGen, Inc",1670584910,Health Care,Major Pharmaceuticals
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,763983000,n/a,n/a
LION,Fidelity Southern Corporation,615846078.1,Finance,Major Banks
FDUS,Fidus Investment Corporation,386735007,n/a,n/a
FRGI,"Fiesta Restaurant Group, Inc.",532322841.6,Consumer Services,Restaurants
FSAM,Fifth Street Asset Management Inc.,259660947,Finance,Investment Managers
FSC,Fifth Street Finance Corp.,617407651.4,n/a,n/a
FSCFL,Fifth Street Finance Corp.,0,n/a,n/a
FSFR,Fifth Street Senior Floating Rate Corp.,267263585.8,n/a,n/a
FITB,Fifth Third Bancorp,20904078705,Finance,Major Banks
FITBI,Fifth Third Bancorp,527220000,Finance,Major Banks
FNGN,"Financial Engines, Inc.",2815577809,Finance,Investment Managers
FISI,"Financial Institutions, Inc.",503014800,Finance,Major Banks
FNSR,Finisar Corporation,3816729154,Technology,Semiconductors
FNJN,"Finjan Holdings, Inc.",34232505.98,Miscellaneous,Multi-Sector Companies
FNTEU,FinTech Acquisition Corp. II,0,Finance,Business Services
FEYE,"FireEye, Inc.",1963232674,Technology,Computer peripheral equipment
FBNC,First Bancorp,626350213.5,Finance,Major Banks
FNLC,"First Bancorp, Inc (ME)",294504619.7,Finance,Major Banks
FRBA,First Bank,99375759,n/a,n/a
BUSE,First Busey Corporation,1171800195,Finance,Major Banks
FBIZ,"First Business Financial Services, Inc.",217286290.1,Finance,Major Banks
FCAP,"First Capital, Inc.",109304828,Finance,Savings Institutions
FCFS,"First Cash, Inc.",2144024561,Consumer Services,Other Specialty Stores
FCNCA,"First Citizens BancShares, Inc.",4384158137,Finance,Major Banks
FCBC,"First Community Bancshares, Inc.",469040140.8,Finance,Major Banks
FCCO,First Community Corporation,139428993.6,Finance,Major Banks
FCFP,"First Community Financial Partners, Inc.",227602914,Finance,Major Banks
FBNK,"First Connecticut Bancorp, Inc.",383134521.8,Finance,Banks
FDEF,First Defiance Financial Corp.,447802550,Finance,Savings Institutions
FFBC,First Financial Bancorp.,1726635917,Finance,Major Banks
FFBCW,First Financial Bancorp.,0,Finance,Major Banks
FFIN,"First Financial Bankshares, Inc.",2912833649,Finance,Major Banks
THFF,First Financial Corporation Indiana,580041081.2,Finance,Major Banks
FFNW,"First Financial Northwest, Inc.",221390200.2,Finance,Major Banks
FFWM,First Foundation Inc.,522485056,Finance,Major Banks
FGBI,"First Guaranty Bancshares, Inc.",188327551.5,Finance,Savings Institutions
FHB,"First Hawaiian, Inc.",4451027863,Finance,Major Banks
INBK,First Internet Bancorp,203086867.5,Finance,Major Banks
INBKL,First Internet Bancorp,0,Finance,Major Banks
FIBK,"First Interstate BancSystem, Inc.",1963272580,Finance,Major Banks
FRME,First Merchants Corporation,1641008277,Finance,Major Banks
FMBH,"First Mid-Illinois Bancshares, Inc.",420813066.4,Finance,Major Banks
FMBI,"First Midwest Bancorp, Inc.",2512946353,Finance,Major Banks
FNBC,First NBC Bank Holding Company,83654462.85,Finance,Major Banks
FNWB,First Northwest Bancorp,187656926.2,Finance,Banks
FSFG,"First Savings Financial Group, Inc.",107151266.9,Finance,Savings Institutions
FSLR,"First Solar, Inc.",3600986756,Technology,Semiconductors
FSBK,First South Bancorp Inc,110710942.1,Finance,Major Banks
FAAR,First Trust Alternative Absolute Return Strategy ETF,2887057.74,n/a,n/a
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,37500060,n/a,n/a
BICK,First Trust BICK Index Fund,8403548.02,n/a,n/a
FBZ,First Trust Brazil AlphaDEX Fund,137357532.9,n/a,n/a
FCAN,First Trust Canada AlphaDEX Fund,19080847.7,n/a,n/a
FTCS,First Trust Capital Strength ETF,362461087.3,n/a,n/a
FCEF,First Trust CEF Income Opportunity ETF,17894380.5,n/a,n/a
FCA,First Trust China AlphaDEX Fund,4349103.491,n/a,n/a
SKYY,First Trust Cloud Computing ETF,742755076.2,n/a,n/a
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,180451190.4,n/a,n/a
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,7038070.38,n/a,n/a
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,280736045.3,n/a,n/a
FV,First Trust Dorsey Wright Focus 5 ETF,2596746049,n/a,n/a
IFV,First Trust Dorsey Wright International Focus 5 ETF,467532038.5,n/a,n/a
FEM,First Trust Emerging Markets AlphaDEX Fund,185168045.4,n/a,n/a
FEMB,First Trust Emerging Markets Local Currency Bond ETF,24768022.56,n/a,n/a
